time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
1,-71512.601435,335,8640,7560.0,25,,,,,,,,,,,
2,-68468.778811,316,17280,7560.0,54,1.0032387971878052,0.2,-5.683275807698568,-0.010455309471494898,0.6305015683174133,10,0.12785834287672684,0.06479166666666666,-0.013351582922041416,0.008317861,5e-05
3,-59566.753649,308,25920,7560.0,83,1.0002493858337402,0.2,-5.682996629079183,-0.00780003410919259,0.9429128766059875,20,0.007358085533638519,0.06733796296296296,-0.011815760284662247,0.008091284,5e-05
4,-56542.604626,306,34560,7560.0,112,0.9966636896133423,0.2,-5.669700720398514,-0.007273107543070283,0.96060711145401,30,0.0036624505478647295,0.05645833333333333,0.002466246485710144,0.0068272734,5e-05
5,-54658.7940214,302,43200,7560.0,142,0.9917917251586914,0.2,-5.651222592459785,-0.005653683875721914,0.9753840565681458,40,0.002438767320579953,0.043472222222222225,-0.010927104391157627,0.006109419,5e-05
6,-51868.27154733333,296,51840,7560.0,174,0.992145836353302,0.2,-5.643191743426852,-0.00705930728327345,0.970075786113739,50,0.002471108074748406,0.06289351851851852,-0.025010589510202408,0.0069741574,5e-05
7,-47300.519875875,293,60480,7560.0,206,0.9953367710113525,0.2,-5.651687816690516,-0.008462948505421756,0.9305049180984497,60,0.0021871764155070262,0.0641550925925926,-0.020743191242218018,0.007189266,5e-05
8,-44831.25162888889,292,69120,7560.0,236,0.992710530757904,0.2,-5.651295679940118,-0.014127376018031672,0.9693973660469055,70,0.0035126438516157646,0.10648148148148148,-0.02610270492732525,0.010148241,5e-05
9,-44396.086508299995,293,77760,7560.0,264,0.9935073852539062,0.2,-5.648505889398081,-0.012774530030718004,0.9662402272224426,80,0.003085050522522242,0.09608796296296296,-0.009244468994438648,0.0095015,5e-05
10,-43550.30911863636,290,86400,7560.0,297,0.9941504001617432,0.2,-5.651311092023496,-0.007969906310447389,0.902666449546814,90,0.0021912997329814566,0.07230324074074074,-0.006672300864011049,0.0070852977,5e-05
