time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/policy_gradient_loss
338,-30734.039727,12,7560.0,1758123,1,,,,,,,,,,,
333,-30644.441384299997,25,7560.0,1762443,2,0.00043648016,1e-05,0.008935711346566677,0.9851678609848022,0.2,-5.653521758317948,0.04089671256951988,0.9944403171539307,0.0,4060,-0.0009267195495249348
346,-30644.441384299997,37,7560.0,1766763,3,0.00012583617,1e-05,0.010571766644716263,0.990608811378479,0.2,-5.653459924459457,0.04806663636118173,0.9944769144058228,0.0,4070,-0.0004239853369798929
343,-30540.44574257,50,7560.0,1771083,4,2.9956798e-05,1e-05,0.0069388123229146,0.9952804446220398,0.2,-5.653642451763153,0.04007727918215096,0.9945321679115295,0.0,4080,-0.0001228663948036668
349,-30540.44574257,61,7560.0,1775403,5,0.00026659187,1e-05,0.010662898421287537,0.9918169379234314,0.2,-5.653778141736984,0.03865602444857359,0.994504988193512,0.0,4090,-0.0006223831316288231
346,-30514.09966558,74,7560.0,1779723,6,4.5537727e-05,1e-05,0.01218543853610754,0.9939291477203369,0.2,-5.653720790147782,0.049895246885716914,0.994549036026001,0.0,4100,-0.00029415194191222404
344,-30432.25895555,87,7560.0,1784043,7,0.00021956401,1e-05,0.010342784225940704,0.9911537766456604,0.2,-5.653798466920852,0.04883643165230751,0.9944815635681152,0.0,4110,-0.0006407388409239267
346,-30432.25895555,99,7560.0,1788363,8,0.00018376688,1e-05,0.010093212127685547,0.9947507381439209,0.2,-5.65352937579155,0.04574233004823327,0.9944568276405334,0.0,4120,-0.0003863219623641001
343,-30416.67353052,113,7560.0,1792683,9,0.00026736152,1e-05,0.01235024444758892,0.991419792175293,0.2,-5.653371661901474,0.047288222680799664,0.9943726062774658,0.0,4130,-0.0006058903433727503
346,-30416.67353052,124,7560.0,1797003,10,7.192636e-05,1e-05,0.008952902629971504,0.9926166534423828,0.2,-5.653174036741257,0.050281596812419595,0.9944111108779907,0.0,4140,-0.0003035281086151365
345,-30369.284788120003,137,7560.0,1801323,11,0.00011820789,1e-05,0.013828922063112259,0.9920325875282288,0.2,-5.653168737888336,0.0590963292401284,0.9942936897277832,0.0,4150,-0.00034436739225972843
348,-30369.284788120003,148,7560.0,1805643,12,0.00022249554,1e-05,0.011334815993905067,0.9890071749687195,0.2,-5.652660226821899,0.045040450105443594,0.9942123889923096,0.0,4160,-0.0006894253282583862
346,-30334.669144159998,161,7560.0,1809963,13,0.00014075583,1e-05,0.02120845392346382,0.9900209903717041,0.2,-5.652515554428101,0.08274094401858748,0.994236946105957,0.0,4170,-0.00042938378134949886
345,-30255.183630289997,175,7560.0,1814283,14,0.000202639,1e-05,0.006462144665420055,0.9841006398200989,0.2,-5.6524105846881865,0.0308387411525473,0.9941041469573975,0.0,4180,-0.0005432910371566902
346,-30255.183630289997,186,7560.0,1818603,15,0.00010911363,1e-05,0.007753977086395025,0.9908503890037537,0.2,-5.651881629228592,0.04337094947695732,0.9939913749694824,0.0,4190,-0.00023509775948079293
345,-30057.806325789996,199,7560.0,1822923,16,8.333824e-05,1e-05,0.0091022327542305,0.988251805305481,0.2,-5.651676750183105,0.04311932807322592,0.9940477609634399,0.0,4200,-0.00029400829893564404
347,-30057.806325789996,211,7560.0,1827243,17,1.945508e-05,1e-05,0.014309330843389034,0.9841434955596924,0.2,-5.652071994543076,0.0650348006049171,0.9941856265068054,0.0,4210,-0.00021068164867346084
346,-29966.86873646,224,7560.0,1831563,18,2.6531765e-05,1e-05,0.020708946511149406,0.991286039352417,0.2,-5.652443844079971,0.07402257253415882,0.9941701889038086,0.0,4220,-0.000123127716616378
347,-29966.86873646,236,7560.0,1835883,19,0.000115113646,1e-05,0.009107545018196106,0.9928748607635498,0.2,-5.652197676897049,0.04672504460904747,0.9940767288208008,0.0,4230,-0.0003467903551080731
346,-29905.268194259996,249,7560.0,1840203,20,4.786282e-05,1e-05,0.012594531290233135,0.9935881495475769,0.2,-5.6520828127861025,0.05918306133244187,0.9941919445991516,0.0,4240,-0.00016497775430761584
345,-29740.47207773,262,7560.0,1844523,21,9.046873e-05,1e-05,0.0053616780787706375,0.984233021736145,0.2,-5.652873378992081,0.02830972275696695,0.9944574236869812,0.0,4250,-0.0002890377189653792
346,-29740.47207773,274,7560.0,1848843,22,0.00010767793,1e-05,0.007729668635874987,0.9910598993301392,0.2,-5.6535816311836244,0.035712704388424756,0.9944603443145752,0.0,4260,-0.0003470283644419148
345,-29569.01700817,287,7560.0,1853163,23,6.549689e-05,1e-05,0.007622769568115473,0.991939127445221,0.2,-5.653249931335449,0.041389221977442506,0.9942976832389832,0.0,4270,-0.0002278439971607926
346,-29569.01700817,299,7560.0,1857483,24,3.188566e-05,1e-05,0.009784531779587269,0.9905309677124023,0.2,-5.6528932511806484,0.04712018929421902,0.9943900108337402,0.0,4280,-0.00017151124643686178
345,-29421.864101649997,312,7560.0,1861803,25,8.882607e-05,1e-05,0.023512231186032295,0.9861662983894348,0.2,-5.653434157371521,0.08170888819731773,0.9945071339607239,0.0,4290,-0.0002871527210591918
347,-29421.864101649997,323,7560.0,1866123,26,0.00013245412,1e-05,0.0060353209264576435,0.9891195297241211,0.2,-5.653720039129257,0.03061781694414094,0.9944888353347778,0.0,4300,-0.0004312078101122996
346,-29304.655305939996,336,7560.0,1870443,27,2.9938145e-05,1e-05,0.02225310355424881,0.9887502193450928,0.2,-5.653531503677368,0.10031747100874781,0.9944400787353516,0.0,4310,-0.0003427709435646076
345,-29172.91843218,350,7560.0,1874763,28,0.00033578684,1e-05,0.0179428867995739,0.9905548691749573,0.2,-5.653566664457321,0.05632056868635118,0.9945590496063232,0.0,4320,-0.0006876518240806817
346,-29172.91843218,361,7560.0,1879083,29,0.0001696895,1e-05,0.01130569539964199,0.9902239441871643,0.2,-5.653942894935608,0.043670033919624984,0.9945462942123413,0.0,4330,-0.00042206076757396184
345,-29053.529478320004,374,7560.0,1883403,30,9.296315e-05,1e-05,0.017809566110372543,0.9938758611679077,0.2,-5.653986114263534,0.07148939208127558,0.9946616888046265,0.0,4340,-0.00031431700185873267
346,-29053.529478320004,385,7560.0,1887723,31,0.00014705489,1e-05,0.010588886216282845,0.9848337769508362,0.2,-5.654473084211349,0.045442507858388125,0.9947453141212463,0.0,4350,-0.000500403652793091
346,-28880.995470970003,399,7560.0,1892043,32,4.2118878e-05,1e-05,0.021518686786293983,0.9883978366851807,0.2,-5.654601037502289,0.07745773643255234,0.9947044849395752,0.0,4360,-0.00022782371383715528
347,-28880.995470970003,410,7560.0,1896363,33,7.509471e-05,1e-05,0.01635006070137024,0.9839268922805786,0.2,-5.654352360963822,0.06544938385486603,0.9946181178092957,0.0,4370,-0.0003080243110936909
346,-28802.549214170012,423,7560.0,1900683,34,3.467071e-05,1e-05,0.016123468056321144,0.9926847219467163,0.2,-5.654111915826798,0.07755243806168437,0.9946203231811523,0.0,4380,-0.00011922229254048843
345,-28655.52501847001,437,7560.0,1905003,35,5.1767875e-05,1e-05,0.006527554243803024,0.9888015985488892,0.2,-5.654175990819931,0.0344800166785717,0.994640052318573,0.0,4390,-0.00021122951595486938
346,-28655.52501847001,448,7560.0,1909323,36,6.9476475e-05,1e-05,0.00778568722307682,0.9915211200714111,0.2,-5.6542700827121735,0.03927394032943994,0.9946718215942383,0.0,4400,-0.0002947524048495076
345,-28532.061815690005,462,7560.0,1913643,37,0.0001521344,1e-05,0.007969921454787254,0.988407552242279,0.2,-5.654357969760895,0.046116568706929685,0.9946649074554443,0.0,4410,-0.00039553100036715527
346,-28532.061815690005,473,7560.0,1917963,38,2.8395087e-05,1e-05,0.012832036241889,0.9804785847663879,0.2,-5.654040497541428,0.05656381829176098,0.9944436550140381,0.0,4420,-0.00015456248646694704
345,-28390.891953910006,486,7560.0,1922283,39,0.00022031706,1e-05,0.026559798046946526,0.9921478629112244,0.2,-5.653111100196838,0.08020625784993171,0.9942904710769653,0.0,4430,-0.0004732174305490666
346,-28390.891953910006,498,7560.0,1926603,40,5.1860872e-05,1e-05,0.008680873550474644,0.9927570819854736,0.2,-5.652876567840576,0.04216795747634024,0.9943757057189941,0.0,4440,-0.0002357183182953193
346,-28238.038783890006,511,7560.0,1930923,41,2.249547e-05,1e-05,0.022283241152763367,0.9920576810836792,0.2,-5.653089284896851,0.07714516972191632,0.9942814111709595,0.0,4450,-9.617329142148634e-05
345,-28024.850720130005,524,7560.0,1935243,42,9.987976e-05,1e-05,0.010894762352108955,0.9848428964614868,0.2,-5.652853870391846,0.04834862714633346,0.9943634271621704,0.0,4460,-0.00029641724291282754
346,-28024.850720130005,536,7560.0,1939563,43,9.914144e-05,1e-05,0.011417843401432037,0.9924682378768921,0.2,-5.653145951032639,0.05198908881284296,0.9943522214889526,0.0,4470,-0.00026417476228495217
345,-27810.391704340003,549,7560.0,1943883,44,5.8740614e-05,1e-05,0.009302075952291489,0.9862958192825317,0.2,-5.652846622467041,0.046506974985823034,0.9942118525505066,0.0,4480,-0.00036141622523277463
346,-27810.391704340003,560,7560.0,1948203,45,0.00017867255,1e-05,0.008144544437527657,0.985934317111969,0.2,-5.652445071935654,0.04710138344671577,0.9942286014556885,0.0,4490,-0.00073424214295148
345,-27679.40443469,574,7560.0,1952523,46,0.00011133201,1e-05,0.01552974246442318,0.9869326949119568,0.2,-5.652521371841431,0.061906721582636236,0.9941874742507935,0.0,4500,-0.00029199387532639063
345,-27679.40443469,586,7560.0,1956843,47,0.000108179185,1e-05,0.01359768956899643,0.9814713597297668,0.2,-5.652274411916733,0.05540414706338197,0.9941065907478333,0.0,4510,-0.0003757005053831808
344,-27521.13359249,601,7560.0,1961163,48,7.22154e-05,1e-05,0.01899843104183674,0.9809017777442932,0.2,-5.652176332473755,0.07080297800712287,0.9942066669464111,0.0,4520,-0.0002344634480555108
344,-27300.21055846,614,7560.0,1965483,49,0.0007725288,1e-05,0.0026192041113972664,0.9851130247116089,0.2,-5.652685755491257,0.031048126216046513,0.99431312084198,0.0,4530,-0.0015244504103838485
345,-27300.21055846,625,7560.0,1969803,50,0.00037583336,1e-05,0.006594885140657425,0.9877032041549683,0.2,-5.6528261542320255,0.03576648451853544,0.9942459464073181,0.0,4540,-0.0009686644192457682
344,-27098.129390770002,638,7560.0,1974123,51,0.0002532745,1e-05,0.00978804100304842,0.9852893352508545,0.2,-5.652405536174774,0.0396296180319041,0.9941152334213257,0.0,4550,-0.0007451350979539903
345,-27098.129390770002,650,7560.0,1978443,52,0.00013034549,1e-05,0.003780947532504797,0.9866923689842224,0.2,-5.652276486158371,0.02870875895023346,0.9942570924758911,0.0,4560,-0.0007042888335339725
345,-26897.30651363,663,7560.0,1982763,53,0.00012707754,1e-05,0.013212106190621853,0.9885815382003784,0.2,-5.652852761745453,0.04150707379449159,0.9943305850028992,0.0,4570,-0.000395723309247753
345,-26897.30651363,674,7560.0,1987083,54,0.0004304533,1e-05,0.004277275875210762,0.9775805473327637,0.2,-5.652850693464279,0.022834934946149587,0.9942264556884766,0.0,4580,-0.0011633528292480655
345,-26644.51151844,687,7560.0,1991403,55,0.0006378696,1e-05,0.0004989812150597572,0.9891621470451355,0.2,-5.652630072832108,0.019540750060696156,0.9942932724952698,0.0,4590,-0.001214591998441894
345,-26532.901602150003,701,7560.0,1995723,56,0.00051067915,1e-05,-0.0013452512212097645,0.9847191572189331,0.2,-5.65319088101387,0.014631327509414404,0.9944975972175598,0.0,4600,-0.001371677964951404
345,-26532.901602150003,712,7560.0,2000043,57,0.00040307624,1e-05,-0.0013367044739425182,0.9789737462997437,0.2,-5.653617161512375,0.014737556513864547,0.9944374561309814,0.0,4610,-0.0010561635634199983
345,-26299.425170590002,725,7560.0,2004363,58,0.0001574427,1e-05,0.008058983832597733,0.9830672144889832,0.2,-5.652862709760666,0.02234020282048732,0.9941096305847168,0.0,4620,-0.0005211401043462959
345,-26299.425170590002,737,7560.0,2008683,59,0.0001863504,1e-05,0.005181857850402594,0.9807164072990417,0.2,-5.652006506919861,0.024142658861819655,0.9941082000732422,0.0,4630,-0.0007865553068899245
345,-26066.97298916,750,7560.0,2013003,60,0.0009364599,1e-05,-0.0022855112329125404,0.9719349145889282,0.2,-5.651945823431015,0.00981835926650092,0.9940290451049805,0.0,4640,-0.0018876238869980078
345,-26066.97298916,762,7560.0,2017323,61,0.00046680932,1e-05,0.0031759231351315975,0.9797695875167847,0.2,-5.651765662431717,0.016286573268007486,0.994024395942688,0.0,4650,-0.000978789227608101
345,-25868.742944009995,775,7560.0,2021643,62,7.923218e-05,1e-05,0.012198306620121002,0.9795991778373718,0.2,-5.651852536201477,0.03938172210473567,0.9940865635871887,0.0,4660,-0.0005045901008563725
345,-25647.099901370002,788,7560.0,2025963,63,0.00014511251,1e-05,-0.001047943951562047,0.987878680229187,0.2,-5.652195364236832,0.00691893016337417,0.9941859245300293,0.0,4670,-0.0005660697820757399
345,-25647.099901370002,799,7560.0,2030283,64,0.00013008548,1e-05,0.005266712047159672,0.9723551273345947,0.2,-5.652115774154663,0.022059593943413346,0.9939872622489929,0.0,4680,-0.00047841937035745656
345,-25390.05990337,813,7560.0,2034603,65,0.00036641242,1e-05,0.003414258360862732,0.9810147881507874,0.2,-5.651599276065826,0.015981945453677326,0.9940124750137329,0.0,4690,-0.0009806863869509907
345,-25390.05990337,825,7560.0,2038923,66,0.00010510768,1e-05,0.0003229901194572449,0.9867010712623596,0.2,-5.651822328567505,0.012388192489743233,0.9940592646598816,0.0,4700,-0.0007013800944902782
345,-25138.74219857,838,7560.0,2043243,67,0.0009569133,1e-05,-4.211347550153732e-05,0.9835085868835449,0.2,-5.651931601762771,0.007299333234550431,0.9940760731697083,2.3148147738538684e-05,4710,-0.0017586451289693494
345,-25138.74219857,850,7560.0,2047563,68,0.00012478034,1e-05,0.0013636103831231594,0.9816698431968689,0.2,-5.652492654323578,0.013653164904098958,0.9943938255310059,0.0,4720,-0.00045743730024701
345,-24976.780549359995,863,7560.0,2051883,69,0.0002526592,1e-05,-0.0012110578827559948,0.9697949886322021,0.2,-5.653492212295532,0.009446494124131278,0.9944882988929749,0.0,4730,-0.000872703863692248
344,-24799.220616939994,877,7560.0,2056203,70,8.769447e-05,1e-05,0.001712924800813198,0.9825263023376465,0.2,-5.654267066717148,0.013216239411849528,0.9948703646659851,0.0,4740,-0.0005161953577271561
345,-24799.220616939994,888,7560.0,2060523,71,0.00023862868,1e-05,0.0002794000320136547,0.9819269180297852,0.2,-5.6557404637336735,0.012546262855175882,0.9951634407043457,0.0,4750,-0.000850372461959209
344,-24653.82342572,901,7560.0,2064843,72,0.00018713331,1e-05,0.003218000289052725,0.977530837059021,0.2,-5.656327760219574,0.018451211357023566,0.9951186776161194,0.0,4760,-0.0007818166965131767
345,-24653.82342572,913,7560.0,2069163,73,0.00012784038,1e-05,-0.0006570518016815186,0.9849231243133545,0.2,-5.656003618240357,0.01105595143744722,0.9950486421585083,0.0,4770,-0.0007560966796616081
345,-24431.74683256,926,7560.0,2073483,74,9.317533e-05,1e-05,0.0038461617659777403,0.9758451581001282,0.2,-5.655732095241547,0.019757995882537217,0.9949719905853271,0.0,4780,-0.0003732975479012857
