time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/std,rollout/ep_rew_mean,train/approx_kl,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean
4320,19,224,1,,,,,,,,,,,,,
8640,39,218,2,0.5370697975158691,1.0014060735702515,-8968.711592,0.014191924,0.05369122698903084,0.10557870441698469,0.2,0.0005,0.3710034303367138,10,-5.678731107711792,-0.01159890436765707,7560.0
12960,63,203,3,0.8187470436096191,1.00054132938385,-8968.711592,0.01084716,-0.006576085463166237,0.0822916663455544,0.2,0.0005,0.05610428974032402,20,-5.6811764478683475,-0.007318703984018527,7560.0
17280,93,184,4,0.9514835476875305,0.9971929788589478,-9434.168902,0.009927877,-0.005720412824302912,0.03333333302871324,0.2,0.0005,0.060475937696173786,30,-5.672025394439697,-0.0036092970765594146,7560.0
21600,115,187,5,0.9323427677154541,0.9973268508911133,-9434.168902,0.007436256,0.0043227290734648705,0.027962962497258558,0.2,0.0005,0.10349534898996353,40,-5.661866021156311,-0.005420083215948423,7560.0
25920,138,186,6,0.9388283491134644,0.9998108148574829,-9708.216489666665,0.009175518,-0.0021364158019423485,0.04483796335698571,0.2,0.0005,0.111542356479913,50,-5.669741559028625,-0.007062126946047087,7560.0
30240,163,184,7,0.9471350908279419,0.9981340765953064,-10298.854749999999,0.015166374,-0.006517855450510979,0.07731481522787362,0.2,0.0005,0.053771153837442395,60,-5.673466992378235,-0.008540323702359753,7560.0
34560,188,183,8,0.9180750846862793,0.9956127405166626,-10298.854749999999,0.020478422,0.003874437417834997,0.08483796312939376,0.2,0.0005,0.16466602468863129,70,-5.662269639968872,-0.0043033896785001245,7560.0
38880,215,180,9,0.9462143182754517,0.9938694834709167,-10354.6448996,0.016055075,-0.002529192715883255,0.07761574087198823,0.2,0.0005,0.10085110776126385,80,-5.654216647148132,-0.00859249243627005,7560.0
43200,237,181,10,0.937798023223877,0.9920385479927063,-10354.6448996,0.009305177,0.0008922070264816284,0.04481481411785353,0.2,0.0005,0.1003354980610311,90,-5.64747564792633,-0.00513484124148178,7560.0
47520,265,179,11,0.9027454257011414,0.9919878840446472,-11433.504370666667,0.031689595,-0.010262904688715935,0.17238425932300744,0.2,0.0005,0.17195715177804233,100,-5.641984987258911,-0.01159261757175365,7560.0
51840,276,187,12,0.9657435417175293,0.9924445152282715,-11433.504370666667,0.0153869875,-0.010997802019119263,0.07856481628259644,0.2,0.0005,0.04329308676533401,110,-5.644416403770447,-0.007450156875804481,7560.0
56160,289,193,13,0.9249359369277954,0.9912149906158447,-11202.792231571428,0.017124865,-0.012400146573781967,0.1324074068776099,0.2,0.0005,0.055339776910841465,120,-5.643264865875244,-0.0114666071477032,7560.0
60480,302,199,14,0.9563033580780029,0.9885260462760925,-11148.6625405,0.00755335,-0.006788586266338825,0.03657407468999736,0.2,0.0005,0.04505324272904545,130,-5.636406517028808,-0.004060704614187926,7560.0
64800,314,206,15,0.9922471046447754,0.9843562841415405,-11148.6625405,0.01329807,-0.0020307092927396297,0.06902777749928646,0.2,0.0005,0.06766209336929023,140,-5.621673250198365,-0.003478613160598343,7560.0
69120,327,211,16,0.9691481590270996,0.9841662049293518,-11089.67779222222,0.0058440594,-0.0021711355075240135,0.018055555352475494,0.2,0.0005,0.06988871633075178,150,-5.609624242782592,-0.0023089334116718875,7560.0
73440,338,217,17,0.9835016131401062,0.9831535816192627,-11089.67779222222,0.0057554524,-0.002282780595123768,0.01921296278014779,0.2,0.0005,0.0725604905281216,160,-5.611272835731507,-0.002057066502760563,7560.0
77760,351,221,18,0.9367626905441284,0.9840688705444336,-11011.3857914,0.006941306,0.0027687428519129753,0.019027777409064583,0.2,0.0005,0.08896852349862457,170,-5.606521320343018,-0.002561709986900951,7560.0
82080,362,226,19,0.9896408319473267,0.9834963083267212,-11011.3857914,0.010564183,-0.0049490295350551605,0.04453703693870921,0.2,0.0005,0.04874927799683064,180,-5.612203788757324,-0.003507148266413651,7560.0
86400,375,230,20,0.9886984825134277,0.9811033606529236,-10728.468449727272,0.009680737,-0.008868925273418427,0.060185185127193105,0.2,0.0005,0.040199945447966456,190,-5.603274965286255,-0.006288153095439242,7560.0
90720,388,233,21,0.9933461546897888,0.9776177406311035,-10430.435609,0.010426947,-0.012215536087751389,0.0695370370580349,0.2,0.0005,0.024700011708773673,200,-5.592261528968811,-0.0053307520007962236,7560.0
95040,399,237,22,0.9613757133483887,0.97689288854599,-10430.435609,0.009338312,-0.0139110516756773,0.09192129646835383,0.2,0.0005,0.03539398442953825,210,-5.580621647834778,-0.007555461548962939,7560.0
99360,412,240,23,0.9873482584953308,0.9758328199386597,-10116.995202076923,0.00783239,-0.012138835154473782,0.0805324073007796,0.2,0.0005,0.027251072879880666,220,-5.580864357948303,-0.007916354617056597,7560.0
103680,424,244,24,0.9859302043914795,0.9782150983810425,-10116.995202076923,0.0069976267,-0.008199205622076988,0.04381944406486582,0.2,0.0005,0.031086183292791246,230,-5.5779870510101315,-0.004495695633932329,7560.0
108000,437,246,25,0.900459885597229,0.9835751056671143,-9965.580392857142,0.004157517,-0.00035614892840385437,0.05282407460617833,0.2,0.0005,0.06451901458203793,240,-5.5973714828491214,-0.005124427410725474,7560.0
112320,449,250,26,0.9746793508529663,0.9868636131286621,-9965.580392857142,0.007995638,-0.006707361899316311,0.07141203728388064,0.2,0.0005,0.05724234031513333,250,-5.615308237075806,-0.004968963081415367,7560.0
116640,462,252,27,0.981823205947876,0.9839996099472046,-9903.2642608,0.010828433,7.020961493253708e-05,0.0510879637527978,0.2,0.0005,0.06096877790987491,260,-5.618423700332642,-0.004544736433474128,7560.0
120960,475,254,28,0.9882280230522156,0.9803723096847534,-9718.668000437501,0.006794579,0.0005743755027651787,0.04655092594912276,0.2,0.0005,0.0630520193837583,270,-5.6022433042526245,-0.004216952627897719,7560.0
125280,489,255,29,0.9846498370170593,0.9777102470397949,-9718.668000437501,0.0073005287,-0.006397477816790342,0.10201388906571082,0.2,0.0005,0.028927551629021764,280,-5.590527582168579,-0.009374144207642843,7560.0
129600,505,256,30,0.9915279746055603,0.9737690091133118,-9456.141245058825,0.0067187273,-0.012192919850349426,0.09180555590428412,0.2,0.0005,0.029996175598353148,290,-5.5766932487487795,-0.009413922101828476,7560.0
133920,519,257,31,0.9923112392425537,0.9672965407371521,-9456.141245058825,0.008322015,-0.009031794033944607,0.08495370349264704,0.2,0.0005,0.02061310997232795,300,-5.555582523345947,-0.00801008367414049,7560.0
138240,532,259,32,0.9915019273757935,0.9631087779998779,-9220.852834555557,0.009163193,-0.008986275643110275,0.08898148303851486,0.2,0.0005,0.022598822601139545,310,-5.531067752838135,-0.006799871219296349,7560.0
142560,544,262,33,0.9963881969451904,0.9643040895462036,-9220.852834555557,0.005433104,-0.006437266245484352,0.06763888818095438,0.2,0.0005,0.018735152739100158,320,-5.522654414176941,-0.00531706516722572,7560.0
146880,557,263,34,0.9932413101196289,0.9641855955123901,-9017.067727894739,0.009090733,-0.011513160541653633,0.08467592525994405,0.2,0.0005,0.019494722643867136,330,-5.528115081787109,-0.006233760067798022,7560.0
151200,570,264,35,0.9984493255615234,0.9623870849609375,-8887.195964950002,0.0073140133,-0.013037220574915409,0.07578703709878028,0.2,0.0005,0.02116397055797279,340,-5.522959876060486,-0.00819671754968887,7560.0
155520,582,267,36,0.9816240668296814,0.9598137736320496,-8887.195964950002,0.006433644,-0.007864413782954216,0.05592592657194473,0.2,0.0005,0.027424821932800113,350,-5.514161109924316,-0.005194164523757827,7560.0
159840,595,268,37,0.9972410202026367,0.9567155838012695,-8758.717878904763,0.008221582,-0.008576218038797379,0.06444444357184693,0.2,0.0005,0.017932854988612235,360,-5.502204060554504,-0.005007579129003847,7560.0
164160,607,270,38,0.996845006942749,0.9545667171478271,-8758.717878904763,0.008248932,-0.007627252023667097,0.06812500025844201,0.2,0.0005,0.036266035540029405,370,-5.491854619979859,-0.007306657963431285,7560.0
168480,621,271,39,0.9929297566413879,0.9533332586288452,-8631.366389545456,0.0048938775,-0.006827825680375099,0.056851852056570354,0.2,0.0005,0.023197054932825267,380,-5.482591867446899,-0.004868848273029869,7560.0
172800,634,272,40,0.9978929162025452,0.9538527131080627,-8631.366389545456,0.0068436023,-0.0058318679220974445,0.040115740575129163,0.2,0.0005,0.02478409083560109,390,-5.482191133499145,-0.0033551039478604493,7560.0
177120,647,273,41,0.9951050281524658,0.9565867185592651,-8514.128290391305,0.009002438,-0.00982013251632452,0.05039351865998469,0.2,0.0005,0.01829600075725466,400,-5.486217880249024,-0.004399259245943199,7560.0
