time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/loss,train/std
1,8640,-24728.000495,368,8640.0,23,,,,,,,,,,,
2,17280,-24821.215478,338,8640.0,50,5e-05,0.2,0.1849454641342163,0.16773159289525616,10,0.009499431,-0.009713580979862147,0.08644675925925926,-5.706974101949621,-0.2824268043041229,1.0145020484924316
3,25920,-25192.451944999997,330,8640.0,78,5e-05,0.2,0.7025247812271118,0.04692131213567875,20,0.009863181,-0.010499155680752463,0.08315972222222222,-5.763219012507686,-0.2895333468914032,1.027888536453247
4,34560,-25704.65150325,326,8640.0,105,5e-05,0.2,0.8338273763656616,0.023285983375239152,30,0.009859138,-0.008667737023422011,0.0763888888888889,-5.816410777480514,-0.28088730573654175,1.0425323247909546
5,43200,-26192.199159599997,325,8640.0,132,5e-05,0.2,0.9061285257339478,0.015923310270601954,40,0.007338865,-0.0059859158847205066,0.05023148148148148,-5.879062059543751,-0.3219324052333832,1.0611763000488281
6,51840,-26686.28929783333,325,8640.0,159,5e-05,0.2,0.938831627368927,0.01259981480323606,50,0.005553312,-0.004214581021763108,0.031099537037037037,-5.941141295256438,-0.3110487163066864,1.0753705501556396
7,60480,-26826.568599571423,322,8640.0,187,5e-05,0.2,0.9591580033302307,0.01311117386686857,60,0.005935538,-0.006323728997225839,0.04681712962962963,-5.989252805356626,-0.3135198950767517,1.0880517959594727
8,69120,-26828.555041624997,321,8640.0,214,5e-05,0.2,0.9734636545181274,0.013347420893195603,70,0.00638478,-0.0055450058385246885,0.043784722222222225,-6.03764271736145,-0.2939438819885254,1.101027011871338
9,77760,-26754.293916777777,320,8640.0,242,5e-05,0.2,0.9838595390319824,0.01441236814673714,80,0.0055810795,-0.005524389199843561,0.03378472222222222,-6.087775375578139,-0.2853386700153351,1.1162140369415283
10,86400,-26576.557010899996,320,8640.0,269,5e-05,0.2,0.9872440695762634,0.015018563329552611,90,0.0056299483,-0.004349119275963555,0.02903935185185185,-6.132318175633748,-0.29446732997894287,1.1270742416381836
11,95040,-26327.48804872727,319,8640.0,297,5e-05,0.2,0.9900139570236206,0.015245649725267733,100,0.0056625605,-0.0065483369110841995,0.03523148148148148,-6.172878425033004,-0.2914856970310211,1.139040231704712
12,103680,-26054.2757765,318,8640.0,325,5e-05,0.2,0.9939044117927551,0.01747167273700513,110,0.0055768383,-0.006620108953987559,0.03408564814814815,-6.203089224497477,-0.3104325234889984,1.145617961883545
13,112320,-25735.19824630769,318,8640.0,352,5e-05,0.2,0.9953764081001282,0.018471623004448635,120,0.0068087233,-0.007439487770337749,0.05545138888888889,-6.233010585572984,-0.3431820869445801,1.1567773818969727
14,120960,-25457.505024928567,318,8640.0,379,5e-05,0.2,0.996633768081665,0.017076639213288825,130,0.0053861192,-0.00548260920042931,0.03702546296296296,-6.262055884820444,-0.3152328431606293,1.1633936166763306
15,129600,-25177.30085573333,318,8640.0,407,5e-05,0.2,0.997001051902771,0.017691813227203156,140,0.0066582095,-0.007206927823868615,0.04913194444444444,-6.299655403561062,-0.3166258633136749,1.178957462310791
16,138240,-24914.446355750002,318,8640.0,434,5e-05,0.2,0.9974433779716492,0.014717924516061666,150,0.0054670847,-0.006467590461554075,0.04791666666666667,-6.342628144158257,-0.3184235095977783,1.1893937587738037
17,146880,-24656.567718941176,318,8640.0,461,5e-05,0.2,0.9977738261222839,0.013287046963211011,160,0.0070047355,-0.006819433596813016,0.05585648148148148,-6.383057968351576,-0.3445892035961151,1.2035835981369019
18,155520,-24393.01044988889,318,8640.0,488,5e-05,0.2,0.997898280620575,0.01334055063487203,170,0.0073270206,-0.00612120280628679,0.05761574074074074,-6.420659562216865,-0.3059372901916504,1.2137095928192139
19,164160,-24144.072479052633,317,8640.0,516,5e-05,0.2,0.9983349442481995,0.010628243434863786,180,0.0053959377,-0.006573270610706122,0.04386574074074074,-6.465719679373282,-0.3500378429889679,1.2320680618286133
