time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/std,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss
181440,8640.0,1,79,-2396.3287351,108,,,,,,,,,,,
190080,8640.0,2,130,-2375.254901238095,132,0.2,0.00549494,-0.347253680229187,5e-05,0.9985125660896301,0.009470100174485534,200,1.2522199153900146,0.0424537037037037,-6.539397447020919,-0.005467750274196819
198720,8640.0,3,159,-2360.8409298636366,162,0.2,0.0057978937,-0.3267817795276642,5e-05,0.9985694289207458,0.007586028204230523,210,1.269031286239624,0.045787037037037036,-6.580590186648899,-0.004871553147073697
207360,8640.0,4,187,-2345.7175573043482,184,0.2,0.006660287,-0.338297039270401,5e-05,0.9988211989402771,0.009398973566410994,220,1.2842830419540405,0.04883101851851852,-6.630635032653808,-0.005880877842988681
216000,8640.0,5,216,-2333.2446900416667,199,0.2,0.0054543405,-0.3368472754955292,5e-05,0.9987924098968506,0.006548882505546014,230,1.2996375560760498,0.035833333333333335,-6.6764331891801625,-0.0048132733748880805
224640,8640.0,6,245,-2327.84423904,211,0.2,0.004764563,-0.3569977283477783,5e-05,0.9985572695732117,0.006624937683723315,240,1.3126710653305054,0.02621527777777778,-6.718282278555411,-0.003932509687901647
233280,8640.0,7,273,-2315.2791488846156,221,0.2,0.0065435823,-0.3678678572177887,5e-05,0.9989169239997864,0.007760932369468113,250,1.3230775594711304,0.050729166666666665,-6.7495058158591945,-0.0063376461628272575
241920,8640.0,8,300,-2301.483809925926,229,0.2,0.0053669433,-0.341514527797699,5e-05,0.9988086819648743,0.005866043377426211,260,1.333607792854309,0.03232638888888889,-6.779944162015561,-0.005135748937070646
250560,8640.0,9,328,-2290.5191164285716,236,0.2,0.0048562326,-0.34594905376434326,5e-05,0.9987947344779968,0.0065032692210472845,270,1.346307396888733,0.02875,-6.811509258128979,-0.004217344568093756
259200,8640.0,10,355,-2277.9625473793103,243,0.2,0.0048894086,-0.3333732783794403,5e-05,0.9986996650695801,0.005960463264060242,280,1.3512248992919922,0.0253125,-6.835702941329391,-0.0045071877614181076
267840,8640.0,11,383,-2265.7793639666666,247,0.2,0.004596642,-0.3401966094970703,5e-05,0.9989215135574341,0.005129628129286208,290,1.359398365020752,0.026400462962962962,-6.853054213700471,-0.004697154366790696
276480,8640.0,12,410,-2254.185653032258,252,0.2,0.0059240363,-0.36323264241218567,5e-05,0.99918532371521,0.004916975000717988,300,1.3703091144561768,0.03505787037037037,-6.878883635556257,-0.006128316814148867
285120,8640.0,13,438,-2241.8594644062496,256,0.2,0.00460653,-0.37077128887176514,5e-05,0.9991627931594849,0.00425953771987999,310,1.3823182582855225,0.03395833333333333,-6.9080251965699375,-0.0051692063647701784
293760,8640.0,14,465,-2230.98100330303,260,0.2,0.005342715,-0.3165164887905121,5e-05,0.9991438984870911,0.004064102996899574,320,1.3915221691131592,0.027164351851851853,-6.933254253599379,-0.005387189780982832
302400,8640.0,15,492,-2218.1119332941175,263,0.2,0.0057540108,-0.3599132299423218,5e-05,0.9991393685340881,0.005272394582732684,330,1.399765133857727,0.041261574074074076,-6.952841847384417,-0.005758633593580237
311040,8640.0,16,519,-2206.7128883142855,266,0.2,0.0047665033,-0.3341093361377716,5e-05,0.9992769956588745,0.003633502641589277,340,1.4126901626586914,0.028182870370370372,-6.978671914559824,-0.004989242437813017
319680,8640.0,17,547,-2195.8220315,268,0.2,0.0052866647,-0.3303345739841461,5e-05,0.9990729093551636,0.0036844824651187215,350,1.4247610569000244,0.03902777777777778,-7.007855461615104,-0.00572740649804473
328320,8640.0,18,576,-2184.309839054054,269,0.2,0.00433748,-0.3416033983230591,5e-05,0.9992451667785645,0.0030886438056067734,360,1.436194896697998,0.024467592592592593,-7.036804539715802,-0.004195503694764166
336960,8640.0,19,604,-2174.125356447368,271,0.2,0.0043567806,-0.3564628064632416,5e-05,0.9992850422859192,0.0030103837083852677,370,1.4512404203414917,0.02474537037037037,-7.068531269497342,-0.004339990722084487
345600,8640.0,20,631,-2164.6069584102565,273,0.2,0.0049773995,-0.3598257005214691,5e-05,0.9993330240249634,0.002901557196121387,380,1.4725489616394043,0.0340162037037037,-7.1115629337452075,-0.004693175069470372
354240,8640.0,21,660,-2155.6445421999997,274,0.2,0.0043664295,-0.3714517056941986,5e-05,0.9993818998336792,0.002662746939825377,390,1.4881746768951416,0.026099537037037036,-7.153245550084997,-0.004171834893835088
362880,8640.0,22,688,-2146.6563326829264,276,0.2,0.005470416,-0.386512815952301,5e-05,0.9994568824768066,0.0024824062079898323,400,1.4996176958084106,0.04559027777777778,-7.184741670820448,-0.0058966736019485525
371520,8640.0,23,716,-2137.366567642857,277,0.2,0.004928136,-0.3670693039894104,5e-05,0.9994063377380371,0.00231917096694276,410,1.5137224197387695,0.02775462962962963,-7.21394725340384,-0.0035063204290000376
380160,8640.0,24,744,-2128.6427123953486,278,0.2,0.005226685,-0.36891496181488037,5e-05,0.9994072914123535,0.0025058067771519914,420,1.524550437927246,0.02784722222222222,-7.241919057987355,-0.005579648450948298
388800,8640.0,25,772,-2119.6323777499997,279,0.2,0.004621798,-0.33868715167045593,5e-05,0.9993882179260254,0.002675600082665268,430,1.537628412246704,0.030983796296296297,-7.268537314379657,-0.004109199858029131
397440,8640.0,26,801,-2111.9938405777775,280,0.2,0.0039561433,-0.3793041706085205,5e-05,0.9992507696151733,0.0026743535565953978,440,1.5561959743499756,0.01957175925925926,-7.304501234690348,-0.004953769583565493
406080,8640.0,27,830,-2104.6650832173914,280,0.2,0.005287461,-0.39743801951408386,5e-05,0.9993793964385986,0.0028788799407064086,450,1.5672144889831543,0.037974537037037036,-7.339285151163737,-0.005185561491245473
414720,8640.0,28,860,-2097.2063856808513,281,0.2,0.005501243,-0.37319812178611755,5e-05,0.9993670582771301,0.002178743824975013,460,1.581386685371399,0.03488425925925926,-7.365576113241691,-0.004112397949901168
423360,8640.0,29,889,-2089.9109648333333,281,0.2,0.0044918414,-0.37846070528030396,5e-05,0.999324381351471,0.0023271243497556835,470,1.5907635688781738,0.022546296296296297,-7.386293812504521,-0.004425371512253251
432000,8640.0,30,919,-2082.720516142857,281,0.2,0.0041301637,-0.36731186509132385,5e-05,0.9993741512298584,0.0017604200190571308,480,1.6052377223968506,0.018773148148148146,-7.406124072957922,-0.003208326206335591
440640,8640.0,31,948,-2075.60996184,282,0.2,0.00405415,-0.3615250885486603,5e-05,0.9993285536766052,0.0023863191755609243,490,1.6116539239883423,0.019421296296296298,-7.422870924914324,-0.003864690989290399
449280,8640.0,32,976,-2069.362416705882,283,0.2,0.0046488508,-0.3687637746334076,5e-05,0.9993772506713867,0.0018944804567447,500,1.6225336790084839,0.030983796296296297,-7.439907340650206,-0.004698852624192282
