time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/entropy_loss
8640,30,1,281,7560.0,-10862.246145,,,,,,,,,,,
17280,63,2,272,7560.0,-12646.6603555,-0.2808157801628113,0.5471489429473877,0.2,-0.005882414912770468,5e-05,10,0.16318497593066206,1.0169755220413208,0.04128472222222222,0.0073596695,-5.7130923242922185
25920,97,3,266,7560.0,-10741.057182,-0.3122829496860504,0.9053901433944702,0.2,-0.004671088795488079,5e-05,20,0.009520082541362003,1.0335100889205933,0.04446759259259259,0.0065815942,-5.777656708470097
34560,129,4,266,7560.0,-9650.695213250001,-0.27689269185066223,0.9621285200119019,0.2,-0.009835505312205188,5e-05,30,0.002596408435859269,1.0462554693222046,0.09008101851851852,0.008665063,-5.834171453758523
43200,162,5,265,7560.0,-13097.6469768,-0.30842408537864685,0.9489058256149292,0.2,-0.004636482253532719,5e-05,40,0.008070816126203648,1.064352035522461,0.04086805555555555,0.005908092,-5.892541776939675
51840,205,6,252,7560.0,-13620.950877666668,-0.3200198709964752,0.9621098041534424,0.2,-0.003638336874579114,5e-05,50,0.005570573908345843,1.080221176147461,0.02386574074074074,0.004936299,-5.957210842768351
60480,245,7,246,7560.0,-12445.66239775,-0.2980760931968689,0.9942556023597717,0.2,-0.00504850798053667,5e-05,60,0.0009954791804301312,1.0988271236419678,0.03935185185185185,0.006009071,-6.019916785204852
69120,284,8,242,7560.0,-11802.194605777777,-0.3079060912132263,0.9791902899742126,0.2,-0.0028945044854103968,5e-05,70,0.003406153547349041,1.1249594688415527,0.029583333333333333,0.0058295256,-6.100532997625845
77760,322,9,241,7560.0,-16022.444399,-0.3164774477481842,0.992010235786438,0.2,-0.0033789639890676845,5e-05,80,0.0016829993137960427,1.1501017808914185,0.029363425925925925,0.005228229,-6.194154277730871
86400,361,10,238,7560.0,-15257.994102636363,-0.3239234983921051,0.9523815512657166,0.2,-0.0026633859506842716,5e-05,90,0.008115259629450049,1.1707850694656372,0.035104166666666665,0.0054421406,-6.2730045555256035
95040,400,11,237,7560.0,-18578.385124333334,-0.31947603821754456,0.9901703000068665,0.2,-0.002380576980886636,5e-05,100,0.00293925764948923,1.193591833114624,0.017847222222222223,0.004110341,-6.347090714066117
103680,433,12,239,7560.0,-17762.76674423077,-0.3280467092990875,0.9888908267021179,0.2,-0.003974073770352536,5e-05,110,0.003146297972588972,1.2141287326812744,0.03642361111111111,0.005298558,-6.419452480033592
112320,466,13,240,7560.0,-17161.042347785715,-0.3192613124847412,0.996624231338501,0.2,-0.005125195995594065,5e-05,120,0.0008614988544636786,1.235134243965149,0.03662037037037037,0.006058887,-6.488509774384675
120960,502,14,240,7560.0,-19557.050294875,-0.30893585085868835,0.9849500060081482,0.2,-0.0035509758849662765,5e-05,130,0.0035425716809307536,1.2592439651489258,0.033275462962962965,0.0058552776,-6.561319261480261
