time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std
33,1,-24728.000495,8640.0,254,8640,,,,,,,,,,,
84,2,-24821.215478,8640.0,204,17280,-5.706974101949621,-0.2824268043041229,5e-05,0.009499431,0.1849454641342163,0.08644675925925926,10,0.2,-0.009713580979862147,0.16773159289525616,1.0145020484924316
127,3,-25192.451944999997,8640.0,203,25920,-5.763219012507686,-0.2895333468914032,5e-05,0.009863181,0.7025247812271118,0.08315972222222222,20,0.2,-0.010499155680752463,0.04692131213567875,1.027888536453247
156,4,-25704.65150325,8640.0,220,34560,-5.816410777480514,-0.28088730573654175,5e-05,0.009859138,0.8338273763656616,0.0763888888888889,30,0.2,-0.008667737023422011,0.023285983375239152,1.0425323247909546
185,5,-26192.199159599997,8640.0,232,43200,-5.879062059543751,-0.3219324052333832,5e-05,0.007338865,0.9061285257339478,0.05023148148148148,40,0.2,-0.0059859158847205066,0.015923310270601954,1.0611763000488281
212,6,-26686.28929783333,8640.0,243,51840,-5.941141295256438,-0.3110487163066864,5e-05,0.005553312,0.938831627368927,0.031099537037037037,50,0.2,-0.004214581021763108,0.01259981480323606,1.0753705501556396
240,7,-26826.568599571423,8640.0,251,60480,-5.989252805356626,-0.3135198950767517,5e-05,0.005935538,0.9591580033302307,0.04681712962962963,60,0.2,-0.006323728997225839,0.01311117386686857,1.0880517959594727
267,8,-26828.555041624997,8640.0,258,69120,-6.03764271736145,-0.2939438819885254,5e-05,0.00638478,0.9734636545181274,0.043784722222222225,70,0.2,-0.0055450058385246885,0.013347420893195603,1.101027011871338
295,9,-26754.293916777777,8640.0,263,77760,-6.087775375578139,-0.2853386700153351,5e-05,0.0055810795,0.9838595390319824,0.03378472222222222,80,0.2,-0.005524389199843561,0.01441236814673714,1.1162140369415283
322,10,-26576.557010899996,8640.0,268,86400,-6.132318175633748,-0.29446732997894287,5e-05,0.0056299483,0.9872440695762634,0.02903935185185185,90,0.2,-0.004349119275963555,0.015018563329552611,1.1270742416381836
349,11,-26327.48804872727,8640.0,272,95040,-6.172878425033004,-0.2914856970310211,5e-05,0.0056625605,0.9900139570236206,0.03523148148148148,100,0.2,-0.0065483369110841995,0.015245649725267733,1.139040231704712
376,12,-26054.2757765,8640.0,275,103680,-6.203089224497477,-0.3104325234889984,5e-05,0.0055768383,0.9939044117927551,0.03408564814814815,110,0.2,-0.006620108953987559,0.01747167273700513,1.145617961883545
403,13,-25735.19824630769,8640.0,278,112320,-6.233010585572984,-0.3431820869445801,5e-05,0.0068087233,0.9953764081001282,0.05545138888888889,120,0.2,-0.007439487770337749,0.018471623004448635,1.1567773818969727
430,14,-25457.505024928567,8640.0,280,120960,-6.262055884820444,-0.3152328431606293,5e-05,0.0053861192,0.996633768081665,0.03702546296296296,130,0.2,-0.00548260920042931,0.017076639213288825,1.1633936166763306
457,15,-25177.30085573333,8640.0,283,129600,-6.299655403561062,-0.3166258633136749,5e-05,0.0066582095,0.997001051902771,0.04913194444444444,140,0.2,-0.007206927823868615,0.017691813227203156,1.178957462310791
490,16,-24914.446355750002,8640.0,282,138240,-6.342628144158257,-0.3184235095977783,5e-05,0.0054670847,0.9974433779716492,0.04791666666666667,150,0.2,-0.006467590461554075,0.014717924516061666,1.1893937587738037
522,17,-24656.567718941176,8640.0,281,146880,-6.383057968351576,-0.3445892035961151,5e-05,0.0070047355,0.9977738261222839,0.05585648148148148,160,0.2,-0.006819433596813016,0.013287046963211011,1.2035835981369019
